,Reviews,Summary
0,"[[-0.29153085  0.09215779  0.40644842 ... -0.09732504 -0.00676169
   0.24600308]
 [ 0.28391683  0.07282894  0.25040245 ... -0.03359343  0.17172515
   0.26508424]
 [ 0.09772547  0.21985465  0.11679916 ... -0.13981734  0.29028225
  -0.0219874 ]
 [ 0.17187361 -0.00571185  0.06981334 ...  0.10872033  0.0911116
   0.1021126 ]
 [-0.08329684  0.16207618 -0.04685418 ... -0.32903215 -0.06131635
  -0.07821988]]","Кроссовки удобные и лёгкие, но не очень долговечные. На мокром асфальте могут скользить."
1,"[[-0.34263098  0.7583325  -0.24740529 ... -0.2539681   0.00891033
  -0.00746316]
 [-0.19498228  0.02508903  0.26061127 ... -0.04284489  0.28799713
   0.1816071 ]
 [ 0.13592578  0.16250648 -0.17960392 ...  0.04657708 -0.4343895
   0.07242563]
 [-0.1071957  -0.12765494 -0.01971702 ...  0.42312104  0.24204206
   0.05175445]
 [-0.02821437  0.12344049 -0.1334358  ... -0.27294603 -0.05220338
   0.08348993]]","Телефон хороший за свою цену. Камера хорошая днём, батарея держит долго, но динамик слабый, а после обновлений возможны лаги."
2,"[[ 0.33664483 -0.09720072 -0.02364358 ...  0.61003584  0.14058746
   0.20285854]
 [-0.03156492 -0.19327974  0.22596101 ... -0.20673974  0.3540192
   0.3369915 ]
 [ 0.04355199  0.11196955  0.03709755 ... -0.0415657   0.36452883
   0.02808578]
 [ 0.07211477  0.01503838  0.0123799  ...  0.06140716  0.207362
  -0.00598287]
 [-0.09450587 -0.02419159  0.05650248 ... -0.35974786  0.05354205
  -0.09229759]]","Чайник быстро кипятит воду и выглядит стильно, но шумный, может протекать, а крышка неудобная."
3,"[[-0.02474442  0.00245276  0.20475379 ... -0.18403932  0.43207213
   0.10216007]
 [ 0.13433455  0.18342745  0.00216931 ... -0.02366163 -0.12792791
   0.09166016]
 [-0.00850011  0.11180647  0.11201286 ... -0.02374128  0.17023358
   0.11634453]
 [ 0.12847498  0.11508607 -0.24506564 ... -0.32551426  0.01475981
   0.12036795]
 [-0.12342353  0.02870434  0.04236784 ... -0.21443005  0.09004541
   0.1614244 ]]","Футболка приятная к телу, но могут быть проблемы с качеством ткани, цветом и размером."
4,"[[-0.18416476  0.54426146 -0.18336855 ... -0.09754722  0.23305964
   0.23440331]
 [-0.05172326  0.0248992  -0.12205526 ...  0.11637112  0.29876783
   0.0635059 ]
 [-0.2607098   0.64713883 -0.01189803 ... -0.13689287  0.11767074
  -0.1244087 ]
 [-0.00065464  0.10032155 -0.2746019  ... -0.06886895 -0.21744332
  -0.05384415]
 [-0.03136548  0.06638405 -0.04959003 ... -0.3639901   0.12463499
   0.01816961]]","Телефон с хорошей камерой и производительностью, но быстро нагревается, батарея слабая, а корпус маркий."
5,"[[-0.0353131   0.15211405 -0.1745473  ... -0.18392612 -0.09920151
   0.24734008]
 [-0.05183939  0.0648447   0.18242162 ... -0.11854693  0.413849
   0.15258019]
 [ 0.03862688  0.27274263  0.03238316 ... -0.12523878  0.04363315
   0.15228942]
 [ 0.41216668  0.05704161 -0.07195213 ...  0.06744654  0.07246127
   0.02093525]
 [ 0.23305225  0.13789906  0.09093928 ... -0.1140665   0.1476329
   0.11949487]]","Рюкзак удобный и вместительный, но качество фурнитуры и водостойкость оставляют вопросы."
6,"[[-0.19201502 -0.2866371  -0.23638971 ...  0.62776953  0.52647096
  -0.03829794]
 [ 0.18389319  0.03660723  0.09175245 ...  0.11137248  0.30415168
   0.07958969]
 [ 0.04162644 -0.01817001  0.05398178 ...  0.07152448  0.14465967
   0.03951772]
 [-0.10088383  0.06094321 -0.19080481 ... -0.01885405  0.13744837
   0.24100539]
 [-0.13312879  0.06252263 -0.11666832 ...  0.33354777  0.03917963
  -0.00383133]]","Кофемашина варит хороший кофе, но шумная, может подтекать, а инструкция сложная."
7,"[[-0.02021257  0.18522595 -0.18800043 ... -0.32467067  0.03466366
   0.2512686 ]
 [-0.32220006  0.62337714 -0.09650903 ... -0.273676    0.07219627
  -0.11253008]
 [-0.228184   -0.04239633 -0.11260283 ...  0.21733676  0.31616288
   0.07706748]
 [-0.28541878  0.13677174  0.0709477  ...  0.15962593  0.07058246
  -0.03455331]
 [ 0.05736555  0.26510188  0.01232031 ... -0.06193759 -0.2915638
   0.25004008]]","Часы стильные и с хорошим экраном, но ремешок неудобный, батарея слабая, а шагомер не всегда точен."
8,"[[ 0.2806618   0.1419067  -0.20459957 ... -0.1031438   0.29854226
  -0.02460141]
 [ 0.03136642 -0.07668111  0.22678733 ... -0.03818182  0.16308539
   0.120984  ]
 [-0.21090241  0.17935978 -0.06183662 ...  0.01446049 -0.06867145
   0.23195814]
 [ 0.08796608  0.10373732  0.05127382 ... -0.09963198  0.20214915
   0.16957821]
 [ 0.13185182 -0.04061981  0.25793818 ... -0.05291797  0.1144731
   0.08843634]]","Кастрюля удобная для готовки, но тяжёлая, ручки нагреваются, а эмаль может облезать."
9,"[[ 0.04130784 -0.03546733 -0.0856786  ...  0.04776179  0.18846051
   0.00134482]
 [ 0.02542534  0.15412308 -0.08970504 ... -0.02410507  0.1878495
   0.09854061]
 [-0.04004088  0.03499334  0.13756053 ...  0.04840032  0.35814032
   0.03515899]
 [ 0.09704619  0.10269836 -0.10427739 ... -0.03239883 -0.0682941
   0.15638973]
 [ 0.06417593  0.00751455 -0.04009358 ...  0.21579966  0.05887722
  -0.09798777]]","Наушники с хорошим басом и дизайном, но могут давить, блютуз нестабильный, а микрофон слабый."
